path-prefix: /anfs/gfxdisp/quality_datasets/LIVEHDR/train
features-suffix: livehdr
split-column: content
train-ratio: 80
seed: 0
resume: true
config_paths: /anfs/gfxdisp/quality_datasets/LIVEHDR
display: samsung_q90t_qled_livehdr_dark
full-screen-resize: bilinear
log-dir: logs/livehdr

test,reference,content,fps,w,h,sureal_bright_mos,jod
1080p_6M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,1920,1080,54.56178231333719,8.035684708442009
1080p_6M_football10.mp4,4k_ref_football10.mp4,football10,50.0,1920,1080,62.81127732726948,9.066544384264587
1080p_6M_football2.mp4,4k_ref_football2.mp4,football2,50.0,1920,1080,61.69624289572546,9.306288131821198
1080p_6M_football3.mp4,4k_ref_football3.mp4,football3,50.0,1920,1080,64.21723856576857,9.396134888444962
1080p_6M_football4.mp4,4k_ref_football4.mp4,football4,50.0,1920,1080,63.02345213066605,8.930233522220437
1080p_6M_football5.mp4,4k_ref_football5.mp4,football5,50.0,1920,1080,63.81929929160707,9.252455570105289
1080p_6M_football6.mp4,4k_ref_football6.mp4,football6,50.0,1920,1080,63.53871348366438,9.310659204061988
1080p_6M_football7.mp4,4k_ref_football7.mp4,football7,50.0,1920,1080,62.51467389164941,9.452860096277233
1080p_6M_football8.mp4,4k_ref_football8.mp4,football8,50.0,1920,1080,67.98055562205056,9.666592292326872
1080p_6M_football9.mp4,4k_ref_football9.mp4,football9,50.0,1920,1080,61.29775844879463,9.143078211116602
1080p_6M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,1920,1080,66.46913233445885,9.285179350904702
1080p_6M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,1920,1080,67.44794258832435,8.876521974401383
1080p_6M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,1920,1080,64.30874360963566,9.010905834016903
1080p_9M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,1920,1080,72.69419897169233,9.751775750098592
1080p_9M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,1920,1080,75.00467736179702,9.669490504582983
1080p_9M_firework.mp4,4k_ref_firework.mp4,firework,60.0,1920,1080,68.71423149682452,9.068170602844297
1080p_9M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,1920,1080,64.00617331384076,8.5437929442691
1080p_9M_football10.mp4,4k_ref_football10.mp4,football10,50.0,1920,1080,71.55047281894062,9.536713101716495
1080p_9M_football2.mp4,4k_ref_football2.mp4,football2,50.0,1920,1080,63.94080363812752,9.427045499762428
1080p_9M_football3.mp4,4k_ref_football3.mp4,football3,50.0,1920,1080,64.1633418176739,9.393235243397468
1080p_9M_football4.mp4,4k_ref_football4.mp4,football4,50.0,1920,1080,67.61140013579276,9.177065124896254
1080p_9M_football5.mp4,4k_ref_football5.mp4,football5,50.0,1920,1080,62.91645203633709,9.203882387771763
1080p_9M_football6.mp4,4k_ref_football6.mp4,football6,50.0,1920,1080,69.25272109181375,9.618072813380426
1080p_9M_football7.mp4,4k_ref_football7.mp4,football7,50.0,1920,1080,65.9759815286379,9.639078447147215
1080p_9M_football8.mp4,4k_ref_football8.mp4,football8,50.0,1920,1080,63.89884114689379,9.446996053563439
1080p_9M_football9.mp4,4k_ref_football9.mp4,football9,50.0,1920,1080,60.83742666081687,9.1183123609234
1080p_9M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,1920,1080,66.22177061444033,9.271871290367706
1080p_9M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,1920,1080,71.75029686763827,9.107988634628471
1080p_9M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,1920,1080,68.56497935732023,9.239891317242332
4k_15M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,3840,2160,76.43234566255309,9.9528880420669
4k_15M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,3840,2160,78.58198751518103,9.861949790835043
4k_15M_firework.mp4,4k_ref_firework.mp4,firework,60.0,3840,2160,68.50827094385428,9.057089925094498
4k_15M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,3840,2160,72.26607990525874,8.988175918887388
4k_15M_football10.mp4,4k_ref_football10.mp4,football10,50.0,3840,2160,76.38473812689006,9.796796575284175
4k_15M_football2.mp4,4k_ref_football2.mp4,football2,50.0,3840,2160,72.14721665247458,9.8685505199343
4k_15M_football3.mp4,4k_ref_football3.mp4,football3,50.0,3840,2160,72.15880079966682,9.82339093662869
4k_15M_football4.mp4,4k_ref_football4.mp4,football4,50.0,3840,2160,79.08565757047442,9.794380174882127
4k_15M_football5.mp4,4k_ref_football5.mp4,football5,50.0,3840,2160,71.11690428394454,9.645066718693045
4k_15M_football6.mp4,4k_ref_football6.mp4,football6,50.0,3840,2160,75.170200130108,9.936433185640656
4k_15M_football7.mp4,4k_ref_football7.mp4,football7,50.0,3840,2160,71.85101874415955,9.955155449342278
4k_15M_football8.mp4,4k_ref_football8.mp4,football8,50.0,3840,2160,71.38950591624973,9.849993818154788
4k_15M_football9.mp4,4k_ref_football9.mp4,football9,50.0,3840,2160,73.89360173320111,9.820734579817671
4k_15M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,3840,2160,73.82937734487321,9.681160532464995
4k_15M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,3840,2160,82.67917321360763,9.695962182041624
4k_15M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,3840,2160,77.8297704765355,9.738337079456114
4k_3M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,3840,2160,58.55455961786518,8.99106315286269
4k_3M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,3840,2160,57.43130785728315,8.724043225240136
4k_3M_firework.mp4,4k_ref_firework.mp4,firework,60.0,3840,2160,32.11438210914943,7.099098705787378
4k_3M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,3840,2160,9.252090961349836,5.598023313705089
4k_3M_football10.mp4,4k_ref_football10.mp4,football10,50.0,3840,2160,44.27338548786802,8.069205803304788
4k_3M_football2.mp4,4k_ref_football2.mp4,football2,50.0,3840,2160,47.46081054384501,8.54042187129003
4k_3M_football3.mp4,4k_ref_football3.mp4,football3,50.0,3840,2160,47.48824564860425,8.496115069501522
4k_3M_football4.mp4,4k_ref_football4.mp4,football4,50.0,3840,2160,52.778532038617485,8.379056821268223
4k_3M_football5.mp4,4k_ref_football5.mp4,football5,50.0,3840,2160,49.88507535454309,8.502794322291248
4k_3M_football6.mp4,4k_ref_football6.mp4,football6,50.0,3840,2160,46.20549121627766,8.378131846076583
4k_3M_football7.mp4,4k_ref_football7.mp4,football7,50.0,3840,2160,49.58275120920241,8.757122655961584
4k_3M_football8.mp4,4k_ref_football8.mp4,football8,50.0,3840,2160,59.34659942390975,9.202085448866896
4k_3M_football9.mp4,4k_ref_football9.mp4,football9,50.0,3840,2160,55.01118125435931,8.804860358055983
4k_3M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,3840,2160,57.62690279675252,8.809467401776102
4k_3M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,3840,2160,48.47041799220506,7.855531151130165
4k_3M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,3840,2160,48.29357665356195,8.149289851780138
4k_6M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,3840,2160,74.21925282684784,9.833823647505957
4k_6M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,3840,2160,69.40503805728022,9.368229909999979
4k_6M_firework.mp4,4k_ref_firework.mp4,firework,60.0,3840,2160,51.96675360620037,8.167156292328718
4k_6M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,3840,2160,44.96332094037716,7.519287486576759
4k_6M_football10.mp4,4k_ref_football10.mp4,football10,50.0,3840,2160,65.89602959534793,9.232504056287208
4k_6M_football2.mp4,4k_ref_football2.mp4,football2,50.0,3840,2160,67.44390875992056,9.615512555314895
4k_6M_football3.mp4,4k_ref_football3.mp4,football3,50.0,3840,2160,65.81466838859363,9.48207661291295
4k_6M_football4.mp4,4k_ref_football4.mp4,football4,50.0,3840,2160,71.11445772312136,9.365529623094533
4k_6M_football5.mp4,4k_ref_football5.mp4,football5,50.0,3840,2160,66.44950656930986,9.3939607216457
4k_6M_football6.mp4,4k_ref_football6.mp4,football6,50.0,3840,2160,65.25866623889877,9.403192662293598
4k_6M_football7.mp4,4k_ref_football7.mp4,football7,50.0,3840,2160,66.12634502907578,9.647168003470773
4k_6M_football8.mp4,4k_ref_football8.mp4,football8,50.0,3840,2160,65.02355511464202,9.507505665028292
4k_6M_football9.mp4,4k_ref_football9.mp4,football9,50.0,3840,2160,70.71256293058426,9.649594692236883
4k_6M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,3840,2160,72.54819925870439,9.612233151429113
4k_6M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,3840,2160,72.39822250758438,9.142847034057572
4k_6M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,3840,2160,68.58859769465161,9.24116198379076
540p_2.2M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,960,540,44.48956462407962,8.234366422197027
540p_2.2M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,960,540,38.69234275233525,7.715886902593939
540p_2.2M_firework.mp4,4k_ref_firework.mp4,firework,60.0,960,540,37.544371805215405,7.391232151435727
540p_2.2M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,960,540,33.394465005079496,6.896883037257744
540p_2.2M_football10.mp4,4k_ref_football10.mp4,football10,50.0,960,540,36.703224325142585,7.66193113275016
540p_2.2M_football2.mp4,4k_ref_football2.mp4,football2,50.0,960,540,30.428846746754672,7.62410221900657
540p_2.2M_football3.mp4,4k_ref_football3.mp4,football3,50.0,960,540,35.602398144393334,7.856656473774975
540p_2.2M_football4.mp4,4k_ref_football4.mp4,football4,50.0,960,540,37.3654628459458,7.549833698702487
540p_2.2M_football5.mp4,4k_ref_football5.mp4,football5,50.0,960,540,35.01392490925487,7.70272642833474
540p_2.2M_football6.mp4,4k_ref_football6.mp4,football6,50.0,960,540,35.60240713031093,7.807685922251573
540p_2.2M_football7.mp4,4k_ref_football7.mp4,football7,50.0,960,540,36.57123073054231,8.05710285420967
540p_2.2M_football8.mp4,4k_ref_football8.mp4,football8,50.0,960,540,43.34889502513541,8.341408952212838
540p_2.2M_football9.mp4,4k_ref_football9.mp4,football9,50.0,960,540,23.7307110661562,7.121971061930655
540p_2.2M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,960,540,47.17275369005685,8.247034179835875
540p_2.2M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,960,540,34.796202300858724,7.119858346935732
540p_2.2M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,960,540,34.29595762626382,7.396217948111497
720p_2.6M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,1280,720,56.612638778457885,8.886587811702578
720p_2.6M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,1280,720,51.33284710523313,8.395946036779845
720p_2.6M_firework.mp4,4k_ref_firework.mp4,firework,60.0,1280,720,47.93594498246603,7.950298788371811
720p_2.6M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,1280,720,37.91889704543595,7.140297481028922
720p_2.6M_football10.mp4,4k_ref_football10.mp4,football10,50.0,1280,720,42.61949652887439,7.9802265773109315
720p_2.6M_football2.mp4,4k_ref_football2.mp4,football2,50.0,1280,720,47.864689714730886,8.562150570683691
720p_2.6M_football3.mp4,4k_ref_football3.mp4,football3,50.0,1280,720,46.502211323442005,8.443066422807792
720p_2.6M_football4.mp4,4k_ref_football4.mp4,football4,50.0,1280,720,46.95084899140935,8.065527473328427
720p_2.6M_football5.mp4,4k_ref_football5.mp4,football5,50.0,1280,720,46.30357373514342,8.310109535167545
720p_2.6M_football6.mp4,4k_ref_football6.mp4,football6,50.0,1280,720,49.69656788360338,8.565951770778707
720p_2.6M_football7.mp4,4k_ref_football7.mp4,football7,50.0,1280,720,48.184220588981496,8.6818817085937
720p_2.6M_football8.mp4,4k_ref_football8.mp4,football8,50.0,1280,720,53.60559276974216,8.89321929087268
720p_2.6M_football9.mp4,4k_ref_football9.mp4,football9,50.0,1280,720,35.7987035804789,7.771229059201216
720p_2.6M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,1280,720,53.56030601894625,8.590684495130125
720p_2.6M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,1280,720,47.68514730103452,7.81328358794519
720p_2.6M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,1280,720,44.41438944524023,7.940589579972428
720p_4.6M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,1280,720,55.74100021522204,8.83969365700049
720p_4.6M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,1280,720,56.92390418254214,8.69674490753907
720p_4.6M_firework.mp4,4k_ref_firework.mp4,firework,60.0,1280,720,57.77585380810814,8.479685883191356
720p_4.6M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,1280,720,51.81016076591345,7.887647469190611
720p_4.6M_football10.mp4,4k_ref_football10.mp4,football10,50.0,1280,720,53.36653984522099,8.558417507730379
720p_4.6M_football2.mp4,4k_ref_football2.mp4,football2,50.0,1280,720,52.02311495282611,8.785873848493214
720p_4.6M_football3.mp4,4k_ref_football3.mp4,football3,50.0,1280,720,54.706010881882094,8.88443083905187
720p_4.6M_football4.mp4,4k_ref_football4.mp4,football4,50.0,1280,720,50.47193797510013,8.25496206065099
720p_4.6M_football5.mp4,4k_ref_football5.mp4,football5,50.0,1280,720,52.002853674951695,8.61673079592923
720p_4.6M_football6.mp4,4k_ref_football6.mp4,football6,50.0,1280,720,50.765846293040944,8.623478949206447
720p_4.6M_football7.mp4,4k_ref_football7.mp4,football7,50.0,1280,720,51.73245567049391,8.872776755979068
720p_4.6M_football8.mp4,4k_ref_football8.mp4,football8,50.0,1280,720,57.00312664384247,9.076006613299278
720p_4.6M_football9.mp4,4k_ref_football9.mp4,football9,50.0,1280,720,42.16685263039378,8.113835478086637
720p_4.6M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,1280,720,57.673021175623376,8.811948570559354
720p_4.6M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,1280,720,52.22020259268454,8.05726956263596
720p_4.6M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,1280,720,54.722852255469554,8.495184879162766
